squadra,avversario,home/away,punti,numero della giornata,punti cumulativi,punti avversario,punti cumulativi before match,punti avversario before match,differenza punti before match
West Ham,Aston Villa,home,0,174,19,34,19,31,-12
Aston Villa,West Ham,away,3,174,34,19,31,19,12
Arsenal,Liverpool,home,1,175,31,39,30,38,-8
Liverpool,Arsenal,away,1,175,39,31,38,30,8
Newcastle,Tottenham,home,3,176,22,19,19,19,0
Tottenham,Newcastle,away,0,176,19,22,19,19,0
West Brom,Man City,home,3,177,15,18,12,18,-6
Man City,West Brom,away,0,177,18,15,18,12,6
Everton,Chelsea,home,1,178,26,38,25,37,-12
Chelsea,Everton,away,1,178,38,26,37,25,12
Aston Villa,Arsenal,home,1,179,35,32,34,31,3
Arsenal,Aston Villa,away,1,179,32,35,31,34,-3
Chelsea,West Brom,home,3,180,41,15,38,15,23
West Brom,Chelsea,away,0,180,15,41,15,38,-23
Liverpool,Bolton,home,3,181,42,23,39,23,16
Bolton,Liverpool,away,0,181,23,42,23,39,-16
Man City,Hull,home,3,182,21,27,18,27,-9
Hull,Man City,away,0,182,27,21,27,18,9
Middlesbrough,Everton,home,0,183,20,29,20,26,-6
Everton,Middlesbrough,away,3,183,29,20,26,20,6
Portsmouth,West Ham,home,0,184,23,22,23,19,4
West Ham,Portsmouth,away,3,184,22,23,19,23,-4
Stoke,Man United,home,0,185,20,35,20,32,-12
Man United,Stoke,away,3,185,35,20,32,20,12
Sunderland,Blackburn,home,1,186,22,17,21,16,5
